2024-03-25 11:57:34,012 INFO measurements: 0 0 0 0                      targets: {'pitotTragetButton': 0.0, 'pitotRateTargetButton': 0.0, 'staticTargetButton': 0.0, 'staticRateTargetButton': 0.0}
2024-03-25 11:57:34,444 INFO measurements: -0.75 0.00 0.00 0.00                      targets: {'pitotTragetButton': 0.0, 'pitotRateTargetButton': 0.0, 'staticTargetButton': 0.0, 'staticRateTargetButton': 0.0}
2024-03-25 11:57:35,100 INFO measurements: -0.73 0.00 0.00 0.00                      targets: {'pitotTragetButton': 50.0, 'pitotRateTargetButton': 0.0, 'staticTargetButton': 0.0, 'staticRateTargetButton': 0.0}
2024-03-25 11:57:35,431 INFO measurements: -0.73 0.00 0.00 0.00                      targets: {'pitotTragetButton': 50.0, 'pitotRateTargetButton': 0.0, 'staticTargetButton': 0.0, 'staticRateTargetButton': 0.0}
2024-03-25 11:57:36,088 INFO measurements: -0.73 0.00 0.00 0.00                      targets: {'pitotTragetButton': 50.0, 'pitotRateTargetButton': 0.0, 'staticTargetButton': 0.0, 'staticRateTargetButton': 0.0}
2024-03-25 11:57:36,416 INFO measurements: -0.74 0.00 0.00 0.00                      targets: {'pitotTragetButton': 50.0, 'pitotRateTargetButton': 0.0, 'staticTargetButton': 0.0, 'staticRateTargetButton': 0.0}
2024-03-25 11:57:37,073 INFO measurements: -0.74 0.00 0.00 0.00                      targets: {'pitotTragetButton': 50.0, 'pitotRateTargetButton': 0.0, 'staticTargetButton': 0.0, 'staticRateTargetButton': 0.0}
2024-03-25 11:57:37,400 INFO measurements: -0.74 0.00 0.00 0.00                      targets: {'pitotTragetButton': 50.0, 'pitotRateTargetButton': 0.0, 'staticTargetButton': 0.0, 'staticRateTargetButton': 0.0}
2024-03-25 11:57:38,056 INFO measurements: -0.74 0.00 0.00 0.00                      targets: {'pitotTragetButton': 50.0, 'pitotRateTargetButton': 0.0, 'staticTargetButton': 0.0, 'staticRateTargetButton': 0.0}
2024-03-25 11:57:38,383 INFO measurements: -0.72 0.00 0.00 0.00                      targets: {'pitotTragetButton': 50.0, 'pitotRateTargetButton': 0.0, 'staticTargetButton': 0.0, 'staticRateTargetButton': 0.0}
2024-03-25 11:57:39,040 INFO measurements: -0.73 0.00 0.00 0.00                      targets: {'pitotTragetButton': 50.0, 'pitotRateTargetButton': 0.0, 'staticTargetButton': 0.0, 'staticRateTargetButton': 0.0}
